origin,destination,airline,duration_min,month,day_of_week,dep_hour,delayed
CMN,CAI,RAM,223,10,6,5,0
CMN,AGA,RAM,53,3,4,10,0
AGA,ORY,RAM,167,12,2,17,1
STN,RAK,RYR,224,11,6,9,0
CMN,MAD,RAM,118,12,4,16,0
CMN,MAD,RAM,112,5,3,11,0
CDG,CMN,RAM,171,5,5,10,0
CDG,RBA,RAM,177,7,6,12,0
STN,RAK,RYR,212,4,0,20,1
AGA,LHR,RAM,214,7,2,8,0
CMN,CDG,RAM,177,1,1,23,0
AGA,CMN,RAM,53,11,2,21,0
TNG,CDG,RAM,164,3,5,7,0
CMN,AMS,RAM,209,7,3,15,1
MAD,CMN,RAM,119,12,2,21,1
MAD,CMN,RAM,133,10,4,8,0
CMN,YUL,RAM,424,10,2,7,1
RAK,ORY,RAM,170,8,5,13,1
CDG,RAK,RAM,194,6,0,8,0
JFK,CMN,RAM,410,6,2,18,0
STN,RAK,RYR,198,2,3,15,0
CMN,MAD,RAM,116,2,4,9,0
JFK,CMN,RAM,425,11,0,14,0
CMN,ALG,RAM,102,6,5,16,0
LHR,RAK,RAM,213,1,3,19,0
FEZ,CDG,RAM,175,8,3,16,1
CMN,BCN,RAM,134,9,6,16,1
RAK,BCN,RAM,142,4,5,5,0
RAK,STN,RYR,187,6,5,7,1
CDG,CMN,RAM,187,8,4,9,0
STN,RAK,RYR,200,8,6,16,1
MAD,CMN,RAM,115,7,6,9,1
CDG,CMN,RAM,186,6,2,6,0
CMN,AGA,RAM,58,2,4,6,0
AGA,CMN,RAM,59,1,0,15,0
FEZ,BCN,VLG,132,7,5,8,1
CMN,YUL,RAM,483,4,6,8,1
CMN,LHR,RAM,194,12,4,15,1
CDG,AGA,RAM,201,8,1,2,0
RAK,LHR,RAM,180,8,3,0,0
LHR,CMN,RAM,200,6,4,10,1
RAK,BCN,RAM,142,5,6,23,0
CDG,CMN,RAM,165,3,4,11,0
RAK,CMN,RAM,46,2,5,16,0
CMN,MRS,RAM,150,8,4,6,1
AGA,CDG,RAM,191,10,4,22,1
CMN,YUL,RAM,444,11,1,12,1
RAK,ORY,RAM,177,9,3,15,0
ORY,RAK,RAM,182,11,3,22,0
MAD,CMN,RAM,133,12,0,9,0
AGA,CMN,RAM,54,12,5,10,0
STN,AGA,RYR,212,8,4,2,0
CMN,AGA,RAM,57,4,0,18,0
CMN,RAK,RAM,46,2,6,13,0
STN,RAK,RYR,203,12,4,21,0
CMN,FEZ,RAM,46,5,3,8,0
CMN,LHR,RAM,189,1,1,16,0
CMN,BCN,RAM,125,6,2,17,0
CDG,CMN,RAM,174,9,3,11,1
CMN,IAD,RAM,410,11,4,16,0
CMN,LOS,RAM,316,7,6,17,0
CMN,JFK,RAM,420,5,0,6,0
TNG,CDG,RAM,145,10,2,9,0
CMN,TUN,RAM,106,7,2,12,1
CMN,JFK,RAM,418,2,5,14,0
ORY,RAK,RAM,174,11,3,19,0
CMN,MAD,RAM,129,8,5,15,1
FEZ,ORY,RAM,168,1,5,11,1
CMN,LHR,RAM,190,1,0,5,0
CMN,OUD,RAM,64,2,2,3,0
STN,AGA,RYR,232,10,6,7,0
CMN,BCN,RAM,140,7,5,14,1
CMN,CDG,RAM,173,5,6,5,0
FEZ,MAD,IBE,126,4,4,15,0
AGA,LHR,RAM,197,7,5,8,0
AGA,ORY,RAM,182,2,6,21,1
STN,AGA,RYR,219,8,5,22,1
CMN,LHR,RAM,185,6,2,11,0
CMN,TUN,RAM,103,11,4,16,1
LHR,CMN,RAM,195,9,0,7,0
CDG,RBA,RAM,182,1,6,8,0
RAK,BCN,VLG,149,3,6,17,1
CMN,IAD,RAM,411,7,2,21,0
CDG,CMN,RAM,177,8,2,16,0
CMN,YUL,RAM,480,9,5,12,1
CMN,IAD,RAM,429,10,0,19,1
AGA,ORY,RAM,178,1,3,20,1
RAK,FCO,RYR,192,1,2,11,0
CMN,RAK,RAM,46,8,0,9,0
LHR,RAK,RAM,214,9,2,20,1
LHR,CMN,RAM,182,10,2,18,0
AGA,LHR,RAM,204,3,5,7,0
STN,AGA,RYR,222,12,5,6,1
RAK,CDG,RYR,186,4,6,16,1
STN,AGA,RYR,213,4,0,9,0
RAK,MAD,RAM,138,3,1,16,0
RAK,ORY,RAM,170,1,1,19,1
CDG,RAK,RAM,172,10,4,13,1
CMN,CDG,RAM,173,1,2,5,0
LHR,CMN,RAM,198,7,5,22,1
CMN,CDG,RAM,169,2,6,16,0
RAK,BCN,VLG,136,1,0,9,0
CMN,YUL,RAM,465,12,3,14,1
RAK,BCN,RAM,128,10,6,7,0
RAK,CMN,RAM,48,6,4,12,1
CMN,GVA,RAM,192,7,5,19,0
RAK,CDG,RAM,175,11,4,1,0
AGA,STN,RYR,199,10,5,22,0
CMN,BRU,RAM,194,9,1,17,1
CMN,LHR,RAM,192,7,5,19,0
JFK,CMN,RAM,435,8,5,5,0
CMN,MAD,RAM,111,6,5,23,0
FEZ,CMN,RAM,46,7,2,21,0
FEZ,BCN,VLG,141,7,2,9,1
RAK,BCN,VLG,148,11,6,22,0
RBA,MAD,RAM,115,4,6,17,1
FEZ,ORY,RAM,161,4,4,20,1
MAD,CMN,RAM,117,4,5,8,0
CMN,RAK,RAM,45,8,5,9,0
ORY,RAK,RAM,192,9,4,23,1
FEZ,BCN,VLG,126,4,0,14,1
CMN,RAK,RAM,41,9,3,11,1
CMN,YUL,RAM,418,8,6,19,0
LHR,CMN,RAM,198,5,2,2,1
CMN,FCO,RAM,168,4,4,16,1
CDG,RAK,RAM,170,11,1,18,0
FEZ,MAD,IBE,117,8,5,11,1
RBA,CDG,RAM,152,9,1,19,0
CMN,CDG,RAM,154,12,5,10,0
RAK,BCN,RAM,128,4,4,16,0
CDG,RAK,RAM,184,5,6,9,0
CMN,FCO,RAM,164,6,4,18,1
LHR,CMN,RAM,202,4,5,14,0
CMN,DKR,RAM,190,11,6,9,0
CMN,AGA,RAM,59,2,2,19,0
CMN,IAD,RAM,430,4,2,7,1
RAK,ORY,RAM,156,4,2,13,1
AGA,LHR,RAM,193,12,5,6,0
CMN,ALG,RAM,113,8,3,14,0
AGA,CMN,RAM,57,9,4,13,0
AGA,CMN,RAM,58,2,6,7,0
CMN,GVA,RAM,173,4,4,9,1
RAK,BCN,RAM,143,10,5,8,0
JFK,CMN,RAM,430,8,1,23,1
CMN,JFK,RAM,463,1,2,21,0
CDG,CMN,RAM,163,8,5,22,1
STN,RAK,RYR,205,7,0,12,1
RAK,BCN,RAM,141,3,4,5,0
CDG,CMN,RAM,174,8,5,7,1
CMN,JFK,RAM,409,3,2,17,1
RAK,CMN,RAM,46,10,2,2,0
CMN,FRA,RAM,192,8,1,17,0
CMN,MAD,RAM,119,11,5,15,0
RAK,MAD,RAM,134,6,6,21,1
CMN,OUD,RAM,67,7,5,10,0
CMN,FRA,RAM,192,10,5,15,1
AGA,CDG,RAM,189,7,2,10,0
STN,AGA,RYR,214,8,5,23,1
CMN,FRA,RAM,201,7,4,10,1
AGA,ORY,RAM,179,7,1,23,1
CMN,CAI,RAM,211,10,5,6,0
RAK,BCN,VLG,132,7,6,19,1
RAK,BCN,VLG,148,11,4,17,1
ORY,RAK,RAM,180,10,6,7,0
CMN,LHR,RAM,191,9,6,15,0
TNG,CDG,RAM,147,11,0,9,1
CMN,IAD,RAM,434,7,5,14,1
MAD,CMN,RAM,119,10,4,21,0
CDG,CMN,RAM,177,4,4,22,0
RAK,STN,RYR,212,2,0,18,1
CDG,AGA,RAM,202,9,0,20,1
CMN,CDG,RAM,174,5,5,10,1
RAK,BCN,RAM,146,8,5,11,1
CMN,FCO,RAM,162,2,6,17,0
RAK,FCO,RYR,196,12,6,21,1
MAD,CMN,RAM,131,7,5,13,0
CDG,AGA,RAM,206,1,6,17,1
CMN,LOS,RAM,355,7,5,11,1
CMN,AGA,RAM,55,10,6,18,0
CMN,MAD,RAM,112,11,3,8,1
CMN,DKR,RAM,194,7,0,23,0
LHR,CMN,RAM,194,3,5,8,1
CMN,FEZ,RAM,50,11,1,9,0
RBA,MAD,RAM,108,12,3,10,0
CMN,MRS,RAM,148,2,2,7,0
AGA,CDG,RAM,197,2,0,19,0
FEZ,MAD,IBE,132,8,4,9,1
RAK,CDG,RYR,169,7,0,6,0
RAK,ORY,RAM,159,8,1,18,0
CMN,FRA,RAM,190,5,3,13,0
CMN,LHR,RAM,174,1,4,19,1
CMN,RAK,RAM,43,8,5,18,1
RAK,CMN,RAM,42,3,1,16,0
RAK,BCN,VLG,150,5,3,16,1
CMN,DKR,RAM,203,8,5,6,1
CMN,ABJ,RAM,284,4,4,21,1
AGA,ORY,RAM,185,7,1,7,0
CMN,RAK,RAM,46,9,5,6,0
CMN,RAK,RAM,45,2,0,18,1
FEZ,CDG,RAM,178,8,3,23,1
RAK,FCO,RYR,192,7,2,18,0
CMN,LHR,RAM,194,2,0,21,1
CMN,MAD,RAM,112,9,5,17,1
RAK,CMN,RAM,41,5,6,16,0
STN,RAK,RYR,198,3,4,6,0
CMN,CDG,RAM,168,5,4,18,1
LHR,CMN,RAM,205,7,4,22,1
AGA,CDG,RAM,177,8,2,13,1
CMN,CDG,RAM,166,3,4,17,0
CMN,MAD,RAM,119,12,4,13,0
ORY,RAK,RAM,167,5,6,19,0
CDG,AGA,RAM,195,4,2,18,0
RAK,FCO,RYR,184,3,5,12,1
CMN,FCO,RAM,179,3,2,22,0
AGA,LHR,RAM,188,12,2,10,0
CMN,FRA,RAM,196,9,0,11,0
CMN,IAD,RAM,452,10,1,4,1
AGA,STN,RYR,199,6,3,9,1
RAK,FCO,RYR,200,6,5,10,1
TNG,BCN,RYR,131,12,4,7,1
AGA,CDG,RAM,184,4,3,19,0
RAK,CDG,RYR,161,5,5,6,1
CMN,LHR,RAM,177,4,5,13,1
CMN,CAI,RAM,225,5,3,2,0
CMN,LYS,RAM,159,8,6,19,0
CMN,FRA,RAM,182,5,5,17,1
AGA,CMN,RAM,57,11,3,20,0
RAK,CDG,RAM,172,1,5,17,0
CMN,RAK,RAM,45,5,4,21,1
RAK,BCN,VLG,132,11,0,11,0
CDG,FEZ,RAM,191,8,5,0,1
RAK,BCN,RAM,142,10,3,6,0
RAK,STN,RYR,187,5,5,6,1
RAK,MAD,RAM,128,6,3,12,1
MAD,CMN,RAM,121,11,2,11,0
AGA,ORY,RAM,190,9,2,7,1
CMN,JFK,RAM,423,6,1,10,1
CMN,CDG,RAM,165,4,6,18,0
RAK,FCO,RYR,203,2,6,17,1
MAD,CMN,RAM,117,11,5,18,0
CMN,AGA,RAM,53,9,0,19,0
CMN,AGA,RAM,53,8,3,20,1
RAK,CMN,RAM,45,10,0,16,0
CMN,CAI,RAM,216,12,2,23,1
CMN,CDG,RAM,165,10,0,6,0
FEZ,CMN,RAM,47,6,6,19,0
CDG,RAK,RAM,185,3,3,4,0
AGA,CMN,RAM,52,9,2,6,0
AGA,CMN,RAM,52,4,0,17,1
TNG,BCN,RYR,124,10,1,14,0
JFK,CMN,RAM,440,5,1,2,1
CMN,LOS,RAM,306,3,3,4,0
TNG,BCN,RYR,140,4,1,8,1
CMN,YUL,RAM,466,4,0,22,0
MAD,CMN,RAM,123,6,5,19,0
RAK,CDG,RYR,163,4,4,15,0
CMN,AGA,RAM,51,4,1,20,0
CDG,AGA,RAM,210,6,4,13,0
RAK,CDG,RYR,185,11,1,12,0
CMN,LHR,RAM,194,2,0,17,0
STN,RAK,RYR,207,5,5,16,0
CMN,OUD,RAM,65,8,4,7,0
CMN,MAD,RAM,115,11,4,14,1
RAK,ORY,RAM,175,5,1,20,0
RBA,MAD,RAM,107,5,5,10,0
AGA,STN,RYR,220,10,5,4,0
CDG,AGA,RAM,179,6,4,21,0
AGA,LHR,RAM,205,11,6,18,0
CMN,ALG,RAM,113,7,6,13,0
JFK,CMN,RAM,439,8,3,23,1
FEZ,BCN,VLG,135,8,5,13,1
FEZ,BCN,VLG,140,2,0,14,0
CDG,RBA,RAM,180,5,0,17,1
RAK,CMN,RAM,45,4,4,15,0
RAK,BCN,RAM,129,9,1,7,0
RAK,BCN,RAM,151,12,0,22,0
FEZ,ORY,RAM,165,4,0,12,0
RAK,FCO,RYR,196,2,0,12,0
AGA,LHR,RAM,199,7,6,20,1
CDG,FEZ,RAM,171,6,5,18,0
CMN,RAK,RAM,44,1,5,6,0
CMN,DKR,RAM,209,12,1,18,1
CMN,NBO,RAM,404,12,2,17,0
CMN,LHR,RAM,177,11,0,11,0
RAK,STN,RYR,185,5,6,23,0
CDG,CMN,RAM,188,3,3,21,1
LHR,RAK,RAM,203,8,6,15,1
ORY,RAK,RAM,168,5,4,12,1
JFK,CMN,RAM,409,4,6,5,0
RAK,STN,RYR,186,8,5,5,0
CMN,CDG,RAM,160,9,4,18,1
CDG,CMN,RAM,177,7,0,15,0
FEZ,BRU,RAM,194,5,2,15,1
CMN,ALG,RAM,109,7,4,16,0
LHR,CMN,RAM,194,8,6,13,0
RAK,ORY,RAM,178,1,4,4,0
STN,AGA,RYR,224,6,5,20,1
CMN,AMS,RAM,191,8,6,16,0
RAK,BCN,VLG,138,3,0,19,1
CMN,LHR,RAM,174,6,4,20,0
CDG,CMN,RAM,176,5,5,19,1
RAK,ORY,RAM,177,11,3,19,0
ORY,RAK,RAM,167,7,4,16,1
RAK,FCO,RYR,184,6,5,8,0
AGA,ORY,RAM,191,4,5,11,1
CMN,TNG,RAM,48,12,2,20,1
RAK,ORY,RAM,167,12,1,16,0
CMN,IAD,RAM,410,6,6,15,1
CDG,FEZ,RAM,185,12,0,14,0
CMN,JFK,RAM,416,8,5,8,1
RAK,LHR,RAM,194,10,1,20,0
CMN,LHR,RAM,175,2,5,5,1
CMN,CDG,RAM,169,1,4,7,0
AGA,CMN,RAM,58,7,4,8,0
TNG,CDG,RAM,143,2,2,21,0
CDG,AGA,RAM,209,11,6,18,1
RAK,CDG,RAM,173,10,1,9,0
MAD,CMN,RAM,133,9,0,20,1
CMN,MAD,RAM,126,1,4,15,0
CMN,GVA,RAM,180,7,0,9,1
ORY,RAK,RAM,166,2,4,17,0
AGA,LHR,RAM,209,12,4,8,0
AGA,CDG,RAM,177,8,5,7,1
CMN,JFK,RAM,405,3,6,8,1
CMN,AGA,RAM,51,8,2,7,1
AGA,ORY,RAM,193,2,4,9,0
ORY,RAK,RAM,186,3,4,20,1
STN,RAK,RYR,222,2,1,6,0
CDG,RAK,RAM,197,11,3,12,0
CMN,GVA,RAM,171,7,4,18,0
CMN,TUN,RAM,116,5,0,17,0
AGA,STN,RYR,215,1,1,20,1
CMN,CDG,RAM,164,7,3,11,1
LHR,CMN,RAM,192,7,4,15,0
CDG,CMN,RAM,175,5,4,21,1
CDG,CMN,RAM,169,7,1,18,1
RBA,CDG,RAM,166,2,6,19,0
AGA,LHR,RAM,204,12,2,8,0
RAK,MAD,RAM,124,4,3,8,0
CMN,LHR,RAM,178,12,4,16,0
RAK,MAD,RAM,139,7,2,17,1
RAK,MAD,RAM,121,11,4,11,0
MAD,CMN,RAM,129,8,3,18,1
RAK,LHR,RAM,188,11,4,10,0
RAK,CDG,RAM,168,1,4,8,0
STN,RAK,RYR,202,3,0,5,0
RAK,BCN,VLG,137,5,5,22,1
CDG,CMN,RAM,186,5,5,18,0
CMN,CAI,RAM,199,12,0,10,1
RAK,BCN,VLG,148,6,0,18,1
RAK,BCN,RAM,145,12,5,18,0
RBA,CDG,RAM,150,8,6,6,0
AGA,CDG,RAM,192,10,3,22,1
CMN,MAD,RAM,121,6,6,20,1
CMN,LHR,RAM,185,4,6,13,1
RAK,FCO,RYR,183,1,1,20,0
CMN,CDG,RAM,171,8,4,19,1
RAK,STN,RYR,192,12,0,23,0
CMN,AGA,RAM,51,2,6,11,0
RAK,CDG,RYR,179,10,4,15,1
CMN,LOS,RAM,341,6,6,3,1
RAK,FCO,RYR,200,12,2,6,1
LHR,RAK,RAM,189,11,0,5,0
ORY,RAK,RAM,193,4,2,13,0
CMN,AGA,RAM,53,10,2,20,1
CMN,LOS,RAM,325,9,4,19,0
AGA,CMN,RAM,54,10,1,15,1
RAK,CMN,RAM,43,2,5,20,1
MAD,CMN,RAM,127,10,0,19,0
CMN,LHR,RAM,186,4,1,12,0
LHR,CMN,RAM,208,8,0,21,0
CMN,CDG,RAM,157,2,4,11,0
CMN,LHR,RAM,194,7,1,19,1
CDG,AGA,RAM,186,11,4,20,1
CMN,LHR,RAM,196,3,4,17,0
CMN,IAD,RAM,465,11,5,14,1
TNG,MAD,RAM,97,6,5,7,0
CMN,CDG,RAM,161,5,0,7,0
FEZ,MAD,IBE,131,1,4,16,0
CMN,JFK,RAM,464,7,6,6,1
LHR,CMN,RAM,205,4,0,5,1
CDG,AGA,RAM,207,12,6,19,0
RAK,BCN,VLG,142,4,6,17,0
RBA,MAD,RAM,103,8,3,16,0
AGA,ORY,RAM,179,7,2,21,1
FEZ,ORY,RAM,165,5,6,8,1
CMN,JFK,RAM,413,11,6,7,0
MAD,CMN,RAM,126,3,5,22,1
AGA,STN,RYR,224,10,5,17,1
FEZ,BCN,VLG,135,4,5,17,1
CMN,OUD,RAM,66,1,0,14,0
CDG,RAK,RAM,191,12,4,6,0
CMN,CAI,RAM,206,8,2,9,1
STN,AGA,RYR,220,8,4,16,1
CMN,DKR,RAM,199,4,2,9,0
FEZ,CMN,RAM,48,3,2,17,1
RBA,CDG,RAM,152,9,2,14,0
CDG,RAK,RAM,183,7,3,5,1
AGA,STN,RYR,228,5,3,22,1
AGA,STN,RYR,222,5,6,19,1
LHR,CMN,RAM,206,11,3,15,0
RAK,CMN,RAM,47,11,3,15,0
RAK,BCN,RAM,145,5,2,11,1
FEZ,BRU,RAM,201,10,4,5,0
CMN,IAD,RAM,455,4,2,11,0
CMN,RAK,RAM,47,10,6,20,1
CMN,LOS,RAM,330,3,3,22,1
CMN,CDG,RAM,172,9,0,7,0
RAK,CMN,RAM,42,7,2,7,1
CMN,LHR,RAM,198,2,1,18,1
CMN,IAD,RAM,436,8,2,9,0
CMN,AGA,RAM,57,4,2,17,0
CMN,AGA,RAM,57,4,1,16,1
RAK,CDG,RYR,165,6,1,10,1
RAK,BCN,VLG,129,12,6,6,1
RAK,LHR,RAM,191,11,0,7,0
JFK,CMN,RAM,409,10,5,19,0
CMN,IAD,RAM,423,11,0,9,1
AGA,CDG,RAM,194,7,0,19,1
AGA,STN,RYR,231,6,2,11,0
CDG,FEZ,RAM,169,11,4,14,0
CDG,FEZ,RAM,189,2,6,14,0
CMN,LHR,RAM,192,12,2,17,0
RAK,BCN,RAM,143,7,2,19,1
CDG,CMN,RAM,186,7,1,7,0
ORY,RAK,RAM,174,5,5,2,1
RAK,LHR,RAM,200,3,5,17,1
CMN,RAK,RAM,44,9,3,6,1
CMN,ABJ,RAM,255,6,2,5,0
LHR,CMN,RAM,189,5,1,16,1
CMN,MAD,RAM,110,3,3,17,1
STN,AGA,RYR,230,7,5,13,1
RAK,BCN,VLG,133,8,5,9,0
LHR,CMN,RAM,187,6,4,5,0
CMN,LHR,RAM,186,1,4,9,1
AGA,LHR,RAM,186,7,4,13,1
CMN,LHR,RAM,196,5,5,5,0
FEZ,BRU,RAM,192,3,0,19,1
AGA,LHR,RAM,207,8,4,9,1
CMN,LHR,RAM,192,9,1,13,1
CMN,LHR,RAM,190,7,6,6,0
CMN,OUD,RAM,63,8,6,22,0
CMN,CAI,RAM,204,8,1,17,1
CMN,CAI,RAM,203,3,6,2,0
FEZ,MAD,IBE,121,4,5,14,1
CMN,AGA,RAM,51,1,4,11,0
CMN,OUD,RAM,67,12,5,5,0
AGA,STN,RYR,215,4,0,17,1
CMN,NBO,RAM,406,10,6,6,1
CMN,LHR,RAM,170,10,4,14,0
STN,AGA,RYR,224,9,0,18,0
RAK,CDG,RYR,184,6,3,18,1
CDG,RAK,RAM,183,8,3,7,0
RAK,CMN,RAM,43,3,6,17,0
LHR,CMN,RAM,193,2,5,16,0
RAK,MAD,RAM,120,5,0,17,0
CMN,CDG,RAM,173,10,0,16,0
LHR,RAK,RAM,196,8,0,17,1
CDG,CMN,RAM,168,10,0,5,0
